s_w,pc_gw,pc_hw
0,0.196414299,0.073655362
0.002156304,0.224473485,0.084177557
0.004636054,0.253868822,0.095200808
0.006900173,0.284600311,0.106725117
0.009972907,0.322012559,0.12075471
0.01396207,0.367441716,0.137790644
0.018705939,0.415543178,0.155828692
0.024851406,0.471661549,0.176873081
0.034608682,0.533124527,0.199921698
0.051697393,0.599932112,0.224974542
0.094284401,0.680101213,0.255037955
0.189323509,0.774967984,0.290612994
0.289052578,0.873843209,0.327691204
0.373256257,0.980735345,0.367775754
0.454926278,1.107669756,0.415376159
0.53142117,1.25999105,0.472496644
0.600584627,1.443043832,0.541141437
0.654600047,1.63010507,0.611289401
0.699019914,1.830527824,0.686447934
0.737402129,2.057673612,0.771627605
0.773035055,2.338265469,0.876849551
0.802145162,2.645580359,0.992092635
0.825487155,2.966256766,1.112346287
0.846403306,3.353740758,1.257652784
0.86386937,3.781309301,1.417990988
0.879286945,4.302408462,1.613403173
0.892386493,4.890315209,1.833868203
0.902952383,5.54502954,2.079386077
0.912224492,6.279912973,2.354967365
0.920418447,7.081603991,2.655601496
0.927534251,7.976825627,2.99130961
0.934110979,9.01902395,3.382133981
0.940310354,10.22156048,3.833085179
0.945593299,11.55771217,4.334142065
0.950175445,13.08092511,4.905346915
0.954164608,14.69766866,5.511625747
0.957668603,16.7018962,6.263211077
0.961010874,18.83973892,7.064902094
0.964083608,21.37842714,8.016910178
0.967048526,24.1843457,9.069129639
0.969905629,27.25749461,10.22156048
0.972708824,30.86510419,11.57441407
0.975404205,35.00717444,13.12769042
0.977937862,39.55009021,14.83128383
0.980363704,44.76108183,16.78540569
0.982520008,50.50653412,18.9399503
0.984460682,57.45452294,21.5454461
0.986293541,64.6697421,24.25115329
0.987641231,73.4883433,27.55812874
